Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Top,CDL2,37.0,7.4
Chain A Transmembrane Top,POPE,45.0,9.0
Chain A Transmembrane Top,POPG,15.0,3.0
Chain B Transmembrane Top,CDL2,38.5,7.7
Chain B Transmembrane Top,POPE,40.0,8.0
Chain B Transmembrane Top,POPG,13.0,2.6
Chain A PEP Domain,CDL2,71.5,10.2
Chain A PEP Domain,POPE,50.0,7.1
Chain A PEP Domain,POPG,17.0,2.4
Chain B PEP Domain,CDL2,70.0,10.0
Chain B PEP Domain,POPE,45.0,6.4
Chain B PEP Domain,POPG,23.0,3.3
Chain A Transmembrane Arm,CDL2,59.0,9.8
Chain A Transmembrane Arm,POPE,38.0,6.3
Chain A Transmembrane Arm,POPG,11.0,1.8
Chain B Transmembrane Arm,CDL2,65.0,10.8
Chain B Transmembrane Arm,POPE,34.0,5.7
Chain B Transmembrane Arm,POPG,14.0,2.3
Chain A Substrate Entrance Channel,CDL2,53.0,6.6
Chain A Substrate Entrance Channel,POPE,27.0,3.4
Chain A Substrate Entrance Channel,POPG,2.0,0.2
Chain B Substrate Entrance Channel,CDL2,45.0,5.6
Chain B Substrate Entrance Channel,POPE,19.0,2.4
Chain B Substrate Entrance Channel,POPG,20.0,2.5
